# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Please read note at the bottom on ECP5U & ECP5UM migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFE5U-45,,,,,,,,LFE5UM-45,,,,,,,,LFE5U-85,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
A2,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-,,A2,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-,,A2,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-,,A2,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-
A3,PT4B,0,ULC_GPLL1C_IN,Comp_OF_PT4A,-,-,,A3,PT4B,0,ULC_GPLL1C_IN,Comp_OF_PT4A,-,-,,A3,PT4B,0,ULC_GPLL1C_IN,Comp_OF_PT4A,-,-,,A3,PT4B,0,ULC_GPLL1C_IN,Comp_OF_PT4A,-,-
A4,PT6B,0,-,Comp_OF_PT6A,-,-,,A4,PT6B,0,-,Comp_OF_PT6A,-,-,,A4,PT6B,0,-,Comp_OF_PT6A,-,-,,A4,PT6B,0,-,Comp_OF_PT6A,-,-
A5,PT15A,0,-,True_OF_PT15B,-,-,,A5,PT15A,0,-,True_OF_PT15B,-,-,,A5,PT15A,0,-,True_OF_PT15B,-,-,,A5,PT15A,0,-,True_OF_PT15B,-,-
A6,PT15B,0,-,Comp_OF_PT15A,-,-,,A6,PT15B,0,-,Comp_OF_PT15A,-,-,,A6,PT15B,0,-,Comp_OF_PT15A,-,-,,A6,PT15B,0,-,Comp_OF_PT15A,-,-
A8,PT18A,0,-,True_OF_PT18B,-,-,,A8,PT18A,0,-,True_OF_PT18B,-,-,,A8,PT18A,0,-,True_OF_PT18B,-,-,,A8,PT18A,0,-,True_OF_PT18B,-,-
A9,PT18B,0,-,Comp_OF_PT18A,-,-,,A9,PT18B,0,-,Comp_OF_PT18A,-,-,,A9,PT18B,0,-,Comp_OF_PT18A,-,-,,A9,PT18B,0,-,Comp_OF_PT18A,-,-
A10,PT31A,0,-,True_OF_PT31B,-,-,,A10,PT31A,0,-,True_OF_PT31B,-,-,,A10,PT58A,0,-,True_OF_PT58B,-,-,,A10,PT58A,0,-,True_OF_PT58B,-,-
A11,PT31B,0,-,Comp_OF_PT31A,-,-,,A11,PT31B,0,-,Comp_OF_PT31A,-,-,,A11,PT58B,0,-,Comp_OF_PT58A,-,-,,A11,PT58B,0,-,Comp_OF_PT58A,-,-
A12,PT38A,0,PCLKT0_0,True_OF_PT38B,-,-,,A12,PT38A,0,PCLKT0_0,True_OF_PT38B,-,-,,A12,PT65A,0,PCLKT0_0,True_OF_PT65B,-,-,,A12,PT65A,0,PCLKT0_0,True_OF_PT65B,-,-
