# ECP5U caBGA256 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 2.0.  Added LFE5U-45,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar. 19, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5U-12,,,,,,,,LFE5U-25,,,,,,,,LFE5U-45,,,,,,
Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS
A1,GND,-,-,-,-,-,,A1,GND,-,-,-,-,-,,A1,GND,-,-,-,-,-
A10,PT42B,1,-,Comp_OF_PT42A,-,-,,A10,PT42B,1,-,Comp_OF_PT42A,-,-,,A10,PT51B,1,-,Comp_OF_PT51A,-,-
A11,PT53A,1,-,True_OF_PT53B,-,-,,A11,PT53A,1,-,True_OF_PT53B,-,-,,A11,PT71A,1,-,True_OF_PT71B,-,-
A12,PT53B,1,-,Comp_OF_PT53A,-,-,,A12,PT53B,1,-,Comp_OF_PT53A,-,-,,A12,PT71B,1,-,Comp_OF_PT71A,-,-
A13,PT65A,1,-,True_OF_PT65B,-,-,,A13,PT65A,1,-,True_OF_PT65B,-,-,,A13,PT83A,1,-,True_OF_PT83B,-,-
A14,PT65B,1,-,Comp_OF_PT65A,-,-,,A14,PT65B,1,-,Comp_OF_PT65A,-,-,,A14,PT83B,1,-,Comp_OF_PT83A,-,-
A15,PT67B,1,-,Comp_OF_PT67A,-,-,,A15,PT67B,1,-,Comp_OF_PT67A,-,-,,A15,PT85B,1,URC_GPLL1C_IN,Comp_OF_PT85A,-,-
A16,GND,-,-,-,-,-,,A16,GND,-,-,-,-,-,,A16,GND,-,-,-,-,-
A2,PT4A,0,-,True_OF_PT4B,-,-,,A2,PT4A,0,-,True_OF_PT4B,-,-,,A2,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-
A3,PT6A,0,-,True_OF_PT6B,-,-,,A3,PT6A,0,-,True_OF_PT6B,-,-,,A3,PT6A,0,-,True_OF_PT6B,-,-
A4,PT6B,0,-,Comp_OF_PT6A,-,-,,A4,PT6B,0,-,Comp_OF_PT6A,-,-,,A4,PT6B,0,-,Comp_OF_PT6A,-,-
A5,PT18A,0,-,True_OF_PT18B,-,-,,A5,PT18A,0,-,True_OF_PT18B,-,-,,A5,PT18A,0,-,True_OF_PT18B,-,-
A6,PT18B,0,-,Comp_OF_PT18A,-,-,,A6,PT18B,0,-,Comp_OF_PT18A,-,-,,A6,PT18B,0,-,Comp_OF_PT18A,-,-
A7,PT29A,0,PCLKT0_0,True_OF_PT29B,-,-,,A7,PT29A,0,PCLKT0_0,True_OF_PT29B,-,-,,A7,PT38A,0,PCLKT0_0,True_OF_PT38B,-,-
A8,PT29B,0,PCLKC0_0,Comp_OF_PT29A,-,-,,A8,PT29B,0,PCLKC0_0,Comp_OF_PT29A,-,-,,A8,PT38B,0,PCLKC0_0,Comp_OF_PT38A,-,-
A9,PT42A,1,-,True_OF_PT42B,-,-,,A9,PT42A,1,-,True_OF_PT42B,-,-,,A9,PT51A,1,-,True_OF_PT51B,-,-
B1,PL2A,7,-,True_OF_PL2B,TRUE,LDQ8,,B1,PL2A,7,-,True_OF_PL2B,TRUE,LDQ8,,B1,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17
B10,PT44A,1,-,True_OF_PT44B,-,-,,B10,PT44A,1,-,True_OF_PT44B,-,-,,B10,PT53A,1,-,True_OF_PT53B,-,-
B11,PT49A,1,-,True_OF_PT49B,-,-,,B11,PT49A,1,-,True_OF_PT49B,-,-,,B11,PT58A,1,-,True_OF_PT58B,-,-
B12,PT56A,1,-,True_OF_PT56B,-,-,,B12,PT56A,1,-,True_OF_PT56B,-,-,,B12,PT74A,1,-,True_OF_PT74B,-,-
B13,PT60A,1,-,True_OF_PT60B,-,-,,B13,PT60A,1,-,True_OF_PT60B,-,-,,B13,PT78A,1,-,True_OF_PT78B,-,-
B14,PT67A,1,-,True_OF_PT67B,-,-,,B14,PT67A,1,-,True_OF_PT67B,-,-,,B14,PT85A,1,URC_GPLL1T_IN,True_OF_PT85B,-,-
B15,PR2B,2,S0_IN,Comp_OF_PR2A,TRUE,RDQ8,,B15,PR2B,2,S0_IN,Comp_OF_PR2A,TRUE,RDQ8,,B15,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17
B16,PR2A,2,-,True_OF_PR2B,TRUE,RDQ8,,B16,PR2A,2,-,True_OF_PR2B,TRUE,RDQ8,,B16,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17
B2,PL2B,7,-,Comp_OF_PL2A,TRUE,LDQ8,,B2,PL2B,7,-,Comp_OF_PL2A,TRUE,LDQ8,,B2,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17
B3,PT4B,0,-,Comp_OF_PT4A,-,-,,B3,PT4B,0,-,Comp_OF_PT4A,-,-,,B3,PT4B,0,ULC_GPLL1C_IN,Comp_OF_PT4A,-,-
B4,PT11B,0,-,Comp_OF_PT11A,-,-,,B4,PT11B,0,-,Comp_OF_PT11A,-,-,,B4,PT11B,0,-,Comp_OF_PT11A,-,-
B5,PT15B,0,-,Comp_OF_PT15A,-,-,,B5,PT15B,0,-,Comp_OF_PT15A,-,-,,B5,PT15B,0,-,Comp_OF_PT15A,-,-
B6,PT22B,0,-,Comp_OF_PT22A,-,-,,B6,PT22B,0,-,Comp_OF_PT22A,-,-,,B6,PT31B,0,-,Comp_OF_PT31A,-,-
B7,PT27B,0,PCLKC0_1,Comp_OF_PT27A,-,-,,B7,PT27B,0,PCLKC0_1,Comp_OF_PT27A,-,-,,B7,PT36B,0,PCLKC0_1,Comp_OF_PT36A,-,-
B8,PT35B,1,PCLKC1_0,Comp_OF_PT35A,-,-,,B8,PT35B,1,PCLKC1_0,Comp_OF_PT35A,-,-,,B8,PT44B,1,PCLKC1_0,Comp_OF_PT44A,-,-
