# Pin Out For ECP5-5G-85,,,,,,,
# Revision 0.0,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
1,NC,-,-,-,-,-,-
2,NC,-,-,-,-,-,-
3,NC,-,-,-,-,-,-
4,NC,-,-,-,-,-,-
5,NC,-,-,-,-,-,-
6,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,C12
7,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,B12
8,VSSIO7,-,-,-,-,-,-
9,PL11C,7,-,True_OF_PL11D,-,LDQ17,-
10,VCCIO7,-,-,-,-,-,-
11,PL11D,7,-,Comp_OF_PL11C,-,LDQ17,-
12,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,A12
13,VCCAUX,-,-,-,-,-,-
14,PL14C,7,-,True_OF_PL14D,-,LDQ17,-
15,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17,-
16,VSS,-,-,-,-,-,-
17,PL14D,7,-,Comp_OF_PL14C,-,LDQ17,-
18,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,D13
19,VCC,-,-,-,-,-,-
20,PL17C,7,-,True_OF_PL17D,-,LDQ17,-
21,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,C13
22,VSS,-,-,-,-,-,-
23,PL17D,7,-,Comp_OF_PL17C,-,LDQ17,-
24,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,-
25,VSSIO7,-,-,-,-,-,-
26,PL20C,7,7,True_OF_PL20D,-,LDQ17,-
27,PL20B,7,7,Comp_OF_PL20A,TRUE,LDQ17,-
28,VCCIO7,-,-,-,-,-,-
29,PL20D,7,7,Comp_OF_PL20C,-,LDQ17,-
30,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29,-
31,VSSIO7,-,7,-,-,-,-
32,PL23C,7,7,True_OF_PL23D,-,LDQ29,-
33,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29,-
34,VCCIO7,-,7,-,-,-,-
35,PL23D,7,7,Comp_OF_PL23C,-,LDQ29,-
36,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29,-
37,VCCAUX,-,7,-,-,-,-
38,PL26C,7,7,True_OF_PL26D,-,LDQ29,-
39,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29,-
40,VSS,-,7,-,-,-,-
41,PL26D,7,7,Comp_OF_PL26C,-,LDQ29,-
42,PL29A,7,-,True_OF_PL29B,TRUE,LDQS29,-
43,VCC,-,7,-,-,-,-
44,PL29C,7,7,True_OF_PL29D,-,LDQ29,-
45,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,-
46,VSS,-,7,-,-,-,-
47,PL29D,7,7,Comp_OF_PL29C,-,LDQ29,-
48,PL32A,7,-,True_OF_PL32B,TRUE,LDQ29,-
49,VSSIO7,-,7,-,-,-,-
50,PL32C,7,7,True_OF_PL32D,-,LDQ29,-
51,PL32B,7,-,Comp_OF_PL32A,TRUE,LDQ29,-
52,VCCIO7,-,7,-,-,-,-
53,PL32D,7,7,Comp_OF_PL32C,-,LDQ29,-
54,PL35A,7,-,True_OF_PL35B,TRUE,LDQ41,B13
55,VSSIO7,-,7,-,-,-,-
56,PL35C,7,7,True_OF_PL35D,-,LDQ41,C15
57,PL35B,7,-,Comp_OF_PL35A,TRUE,LDQ41,A13
58,VCCIO7,-,7,-,-,-,-
59,PL35D,7,7,Comp_OF_PL35C,-,LDQ41,A15
60,PL38A,7,-,True_OF_PL38B,TRUE,LDQ41,D15
61,VCCAUX,-,7,-,-,-,-
62,PL38C,7,7,True_OF_PL38D,-,LDQ41,-
63,PL38B,7,-,Comp_OF_PL38A,TRUE,LDQ41,D16
64,VSS,-,7,-,-,-,-
65,PL38D,7,7,Comp_OF_PL38C,-,LDQ41,-
66,PL41A,7,-,True_OF_PL41B,TRUE,LDQS41,B15
67,VCC,-,7,-,-,-,-
68,PL41C,7,7,True_OF_PL41D,-,LDQ41,C16
69,PL41B,7,-,Comp_OF_PL41A,TRUE,LDQSN41,A16
70,VSS,-,7,-,-,-,-
71,PL41D,7,7,Comp_OF_PL41C,-,LDQ41,-
72,PL44A,7,-,True_OF_PL44B,TRUE,LDQ41,A17
73,VSSIO7,-,7,-,-,-,-
74,PL44C,7,7,True_OF_PL44D,-,LDQ41,B18
75,PL44B,7,-,Comp_OF_PL44A,TRUE,LDQ41,B17
76,VCCIO7,-,7,-,-,-,-
77,PL44D,7,7,Comp_OF_PL44C,-,LDQ41,C17
78,PL47A,6,-,True_OF_PL47B,TRUE,LDQ53,D17
79,VSSIO6,-,7,-,-,-,-
80,PL47C,6,7,True_OF_PL47D,-,LDQ53,D18
81,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ53,C18
82,VCCIO6,-,7,-,-,-,-
83,PL47D,6,7,Comp_OF_PL47C,-,LDQ53,F18
84,PL50A,6,-,True_OF_PL50B,TRUE,LDQ53,F17
85,VCCAUX,-,7,-,-,-,-
86,PL50C,6,7,True_OF_PL50D,-,LDQ53,F15
87,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53,F16
88,VSS,-,7,-,-,-,-
89,PL50D,6,7,Comp_OF_PL50C,-,LDQ53,G16
90,PL53A,6,-,True_OF_PL53B,TRUE,LDQS53,G18
91,VCC,-,7,-,-,-,-
92,PL53C,6,7,True_OF_PL53D,-,LDQ53,-
93,PL53B,6,-,Comp_OF_PL53A,TRUE,LDQSN53,H17
94,VSS,-,7,-,-,-,-
95,PL53D,6,7,Comp_OF_PL53C,-,LDQ53,-
96,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53,G15
97,VSSIO6,-,7,-,-,-,-
98,PL56C,6,6,True_OF_PL56D,-,LDQ53,H16
99,PL56B,6,-,Comp_OF_PL56A,TRUE,LDQ53,H15
100,VCCIO6,-,6,-,-,-,-
101,PL56D,6,6,Comp_OF_PL56C,-,LDQ53,J16
102,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65,-
103,VSSIO6,-,6,-,-,-,-
104,PL59C,6,6,True_OF_PL59D,-,LDQ65,-
105,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65,-
106,VCCIO6,-,6,-,-,-,-
107,PL59D,6,6,Comp_OF_PL59C,-,LDQ65,-
108,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65,-
109,VCCAUX,-,6,-,-,-,-
110,PL62C,6,6,True_OF_PL62D,-,LDQ65,-
111,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65,-
112,VSS,-,6,-,-,-,-
113,PL62D,6,6,Comp_OF_PL62C,-,LDQ65,-
114,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65,-
115,VCC,-,6,-,-,-,-
116,PL65C,6,6,True_OF_PL65D,-,LDQ65,-
117,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65,-
118,VSS,-,6,-,-,-,-
119,PL65D,6,6,Comp_OF_PL65C,-,LDQ65,-
120,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65,-
121,VSSIO6,-,6,-,-,-,-
122,PL68C,6,6,True_OF_PL68D,-,LDQ65,-
123,PL68B,6,-,Comp_OF_PL68A,TRUE,LDQ65,-
124,VCCIO6,-,6,-,-,-,-
125,PL68D,6,6,Comp_OF_PL68C,-,LDQ65,-
126,PL71A,6,-,True_OF_PL71B,TRUE,LDQ77,-
127,VSSIO6,-,6,-,-,-,-
128,PL71C,6,6,True_OF_PL71D,-,LDQ77,-
129,PL71B,6,-,Comp_OF_PL71A,TRUE,LDQ77,-
130,VCCIO6,-,6,-,-,-,-
131,PL71D,6,6,Comp_OF_PL71C,-,LDQ77,-
132,PL74A,6,-,True_OF_PL74B,TRUE,LDQ77,-
133,VCCAUX,-,6,-,-,-,-
134,PL74C,6,6,True_OF_PL74D,-,LDQ77,-
135,PL74B,6,-,Comp_OF_PL74A,TRUE,LDQ77,-
136,VSS,-,6,-,-,-,-
137,PL74D,6,6,Comp_OF_PL74C,-,LDQ77,-
138,PL77A,6,-,True_OF_PL77B,TRUE,LDQS77,-
139,VCC,-,6,-,-,-,-
140,PL77C,6,6,True_OF_PL77D,-,LDQ77,-
141,PL77B,6,-,Comp_OF_PL77A,TRUE,LDQSN77,-
142,VSS,-,6,-,-,-,-
143,PL77D,6,6,Comp_OF_PL77C,-,LDQ77,-
144,PL80A,6,-,True_OF_PL80B,TRUE,LDQ77,-
145,VSSIO6,-,6,-,-,-,-
146,PL80C,6,6,True_OF_PL80D,-,LDQ77,-
