,Mfr Part #,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,DigiKey Programmable,Number of LABs/CLBs,Number of Logic Elements/Cells,Total RAM Bits,Number of I/O,Voltage - Supply,Mounting Type,Operating Temperature,Package / Case,Supplier Device Package,URL
,LFE5UM-85F-8MG285I,IC FPGA 118 I/O 285CSFBGA,162,10211.43,0,1,Tray,ECP5,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-8MG285I/6173868
,LFE5UM5G-85F-8BG554I,IC FPGA 259 I/O 554CABGA,60,15397.88,0,1,Tray,ECP5-5G,Active,Not Verified,21000,84000,3833856,259,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),554-FBGA,554-CABGA (23x23),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM5G-85F-8BG554I/6173751
,LFE5UM5G-85F-8MG285C,IC FPGA 118 I/O 285CSFBGA,129,11136.35,0,1,Tray,ECP5-5G,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM5G-85F-8MG285C/6173861
,LFE5UM-85F-8BG381C,IC FPGA 205 I/O 381CABGA,0,9969.69,0,1,Tray,ECP5,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-8BG381C/5395920
,LFE5UM-85F-8BG381I,IC FPGA 205 I/O 381CABGA,0,10957.67,0,1,Tray,ECP5,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-8BG381I/5398980
,LFE5UM5G-85F-8MG285I,IC FPGA 118 I/O 285CSFBGA,0,12250.47,0,1,Tray,ECP5-5G,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM5G-85F-8MG285I/6173862
,LFE5UM5G-85F-8BG381I,IC FPGA 205 I/O 381CABGA,0,13169.66,0,1,Tray,ECP5-5G,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM5G-85F-8BG381I/6173749
,LFE5UM-85F-7BG381C,IC FPGA 205 I/O 381CABGA,0,9049.54,0,1,Tray,ECP5,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-7BG381C/5395917
,LFE5UM-85F-8BG554C,IC FPGA 259 I/O 554CABGA,0,11661.88,0,1,Tray,ECP5,Active,Not Verified,21000,84000,3833856,259,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),554-FBGA,554-CABGA (23x23),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-8BG554C/5395921
,LFE5UM-85F-6MG285C,IC FPGA 118 I/O 285CSFBGA,0,6915.90899,0,168,Tray,ECP5,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-6MG285C/6173863
,LFE5UM-85F-6BG381C,IC FPGA 205 I/O 381CABGA,0,7423.56611,0,90,Tray,ECP5,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-6BG381C/5395914
,LFE5UM-85F-6MG285I,IC FPGA 118 I/O 285CSFBGA,0,7607.49762,0,168,Tray,ECP5,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-6MG285I/6173864
,LFE5UM-85F-7MG285C,IC FPGA 118 I/O 285CSFBGA,0,7607.49762,0,168,Tray,ECP5,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-7MG285C/6173865
,LFE5UM-85F-6BG381I,IC FPGA 205 I/O 381CABGA,0,8174.01589,0,90,Tray,ECP5,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-6BG381I/5398974
,LFE5UM-85F-7MG285I,IC FPGA 118 I/O 285CSFBGA,0,8380.0194,0,168,Tray,ECP5,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-7MG285I/6173866
,LFE5UM-85F-8MG285C,IC FPGA 118 I/O 285CSFBGA,0,8380.0194,0,168,Tray,ECP5,Active,Not Verified,21000,84000,3833856,118,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),"285-LFBGA, CSPBGA",285-CSFBGA (10x10),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-8MG285C/6173867
,LFE5UM-85F-6BG554C,IC FPGA 259 I/O 554CABGA,0,8696.38767,0,60,Tray,ECP5,Active,Not Verified,21000,84000,3833856,259,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),554-FBGA,554-CABGA (23x23),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-6BG554C/5395915
,LFE5UM-85F-7BG381I,IC FPGA 205 I/O 381CABGA,0,9005.39644,0,90,Tray,ECP5,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-7BG381I/5398977
,LFE5UM-85F-7BG554C,IC FPGA 259 I/O 554CABGA,0,9571.91233,0,60,Tray,ECP5,Active,Not Verified,21000,84000,3833856,259,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),554-FBGA,554-CABGA (23x23),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-7BG554C/5395918
,LFE5UM-85F-6BG554I,IC FPGA 259 I/O 554CABGA,0,9571.91233,0,60,Tray,ECP5,Active,Not Verified,21000,84000,3833856,259,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),554-FBGA,554-CABGA (23x23),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-6BG554I/5398975
,LFE5UM-85F-6BG756C,IC FPGA 365 I/O 756CABGA,0,10182.5725,0,40,Tray,ECP5,Active,Not Verified,21000,84000,3833856,365,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),756-FBGA,756-CABGA (27x27),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-6BG756C/5395916
,LFE5UM-85F-7BG554I,IC FPGA 259 I/O 554CABGA,0,10535.72517,0,60,Tray,ECP5,Active,Not Verified,21000,84000,3833856,259,1.045V ~ 1.155V,Surface Mount,-40°C ~ 100°C (TJ),554-FBGA,554-CABGA (23x23),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-7BG554I/5398978
,LFE5UM5G-85F-8BG381C,IC FPGA 205 I/O 381CABGA,0,10807.94711,0,90,Tray,ECP5-5G,Active,Not Verified,21000,84000,3833856,205,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),381-FBGA,381-CABGA (17x17),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM5G-85F-8BG381C/6173748
,LFE5UM-85F-7BG756C,IC FPGA 365 I/O 756CABGA,0,11205.244,0,40,Tray,ECP5,Active,Not Verified,21000,84000,3833856,365,1.045V ~ 1.155V,Surface Mount,0°C ~ 85°C (TJ),756-FBGA,756-CABGA (27x27),https://www.digikey.in/en/products/detail/lattice-semiconductor-corporation/LFE5UM-85F-7BG756C/5395919
